workout_date,effort_key,best_avg_power_w,mean_ef,mean_hr_drift_pct,mean_pw_hr_decoupling_pct,mean_pct_in_target,effort_family,best_power_28d_ma,ef_28d_ma,best_power_wow_pct,ef_wow_pct
2025-04-03,Z1_11m,105.60530421216849,,,,6.5420560747663545,Z1_10m,,,,
2025-06-11,Z1_15m,166.0,1.6182752035744687,2.8249985138883495,65.41608324470162,9.613259668508286,Z1_15m,,,,
2025-04-03,Z1_30s,132.76190476190476,,,,15.498533724340176,Z1_20s,,,,
2025-04-03,Z1_5m,119.15282392026577,,,,10.631229235880399,Z1_6m,,,,
2025-04-03,Z2_11m,183.87461773700306,,,,31.19266055045872,Z2_10m,,,,
2025-06-11,Z2_11m,193.5860979462875,1.8329441652205594,-5.872766678263732,-17.44769182763488,25.118483412322274,Z2_10m,,,,
2025-06-11,Z2_15m,219.65964523281596,1.6907790982077295,-5.020200013245908,1.795745519240155,74.83370288248337,Z2_15m,,,,
2025-08-14,Z2_15m,232.34406215316315,1.7187618171747285,-0.7113809088219388,2.971568470753505,70.25527192008879,Z2_15m,,,,
2025-08-14,Z2_30m,205.89169873556898,1.6929418634502365,-2.5256154903892285,-7.294599443518085,42.156152430792645,Z2_30m,,,,
2025-04-03,Z2_30s,185.73170731707316,,,,29.518572115444655,Z2_20s,,,,
2025-04-03,Z2_5m,151.68543046357615,,,,50.24586917779587,Z2_6m,,,,
2025-04-03,Z2_7m,142.1671924290221,,,,45.843230403800476,Z2_8m,,,,
2025-05-27,Z3_156m,219.44545585897993,1.9737283816208562,13.237824050722736,14.738075655941163,18.146841936518115,Z3_155m,,,,
2025-04-03,Z3_15m,207.1525974025974,,,,70.43688830592271,Z3_15m,,,,
2025-06-11,Z3_30m,270.30205441421435,1.9152606247026058,0.6322475410786267,0.27968262637624863,85.5049201061139,Z3_30m,,,,
2025-08-14,Z3_30m,267.4411111111111,1.9038565276865105,2.043133704956561,-0.8959192644689029,87.83333333333333,Z3_30m,,,,
2025-04-03,Z3_30s,200.0731707317073,,,,30.48780487804878,Z3_40s,,,,
2025-08-14,Z3_31m,254.44146608315097,1.9118426811967126,7.045929617326271,5.7999440961202575,67.41333333333334,Z3_30m,,,,
2025-04-03,Z4_5m,231.06976744186048,,,,86.1888150609081,Z4_4m,,,,
2025-04-03,Z6_30s,374.6,,,,67.5,Z6_40s,,,,
2025-04-03,Z7_30s,561.6666666666666,,,,72.40143862796344,Z7_40s,,,,
